Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Nov 25 2008,7:00 PM,Phoenix Suns,99,Oklahoma City Thunder,98,Box Score,,
Tue Nov 25 2008,7:00 PM,Golden State Warriors,100,Washington Wizards,124,Box Score,,
Wed Nov 26 2008,7:00 PM,Milwaukee Bucks,96,Atlanta Hawks,102,Box Score,,
Wed Nov 26 2008,7:30 PM,Golden State Warriors,111,Boston Celtics,119,Box Score,,
Wed Nov 26 2008,7:00 PM,Oklahoma City Thunder,82,Cleveland Cavaliers,117,Box Score,,
Wed Nov 26 2008,8:00 PM,New York Knicks,96,Detroit Pistons,110,Box Score,,
Wed Nov 26 2008,7:30 PM,Indiana Pacers,91,Houston Rockets,90,Box Score,,
Wed Nov 26 2008,7:30 PM,Denver Nuggets,106,Los Angeles Clippers,105,Box Score,,
Wed Nov 26 2008,7:00 PM,Phoenix Suns,110,Minnesota Timberwolves,102,Box Score,,
Wed Nov 26 2008,7:30 PM,Orlando Magic,96,Philadelphia 76ers,94,Box Score,,
Wed Nov 26 2008,7:00 PM,Miami Heat,68,Portland Trail Blazers,106,Box Score,,
Wed Nov 26 2008,7:00 PM,New Jersey Nets,116,Sacramento Kings,114,Box Score,OT,
Wed Nov 26 2008,7:30 PM,Chicago Bulls,88,San Antonio Spurs,98,Box Score,,
Wed Nov 26 2008,7:00 PM,Charlotte Bobcats,86,Toronto Raptors,93,Box Score,,
Wed Nov 26 2008,7:00 PM,Memphis Grizzlies,100,Utah Jazz,117,Box Score,,
Thu Nov 27 2008,8:30 PM,New Orleans Hornets,105,Denver Nuggets,101,Box Score,,
Thu Nov 27 2008,8:00 PM,Orlando Magic,105,Washington Wizards,90,Box Score,,
Fri Nov 28 2008,7:30 PM,Philadelphia 76ers,78,Boston Celtics,102,Box Score,,
Fri Nov 28 2008,7:30 PM,Golden State Warriors,97,Cleveland Cavaliers,112,Box Score,,
Fri Nov 28 2008,8:00 PM,Milwaukee Bucks,97,Detroit Pistons,107,Box Score,,
Fri Nov 28 2008,8:00 PM,Charlotte Bobcats,115,Indiana Pacers,108,Box Score,OT,
Fri Nov 28 2008,7:30 PM,Dallas Mavericks,107,Los Angeles Lakers,114,Box Score,,
Fri Nov 28 2008,7:00 PM,Minnesota Timberwolves,105,Oklahoma City Thunder,103,Box Score,,
Fri Nov 28 2008,6:00 PM,Miami Heat,107,Phoenix Suns,92,Box Score,,
Fri Nov 28 2008,7:00 PM,New Orleans Hornets,86,Portland Trail Blazers,101,Box Score,,
Fri Nov 28 2008,7:30 PM,Memphis Grizzlies,98,San Antonio Spurs,109,Box Score,,
Fri Nov 28 2008,7:00 PM,Atlanta Hawks,88,Toronto Raptors,93,Box Score,,
Fri Nov 28 2008,7:00 PM,Sacramento Kings,94,Utah Jazz,120,Box Score,,
