Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Wed Dec 3 2014,8:00 pm,Memphis Grizzlies,96,Houston Rockets,105,Box Score,,
Wed Dec 3 2014,10:30 pm,Orlando Magic,86,Los Angeles Clippers,114,Box Score,,
Wed Dec 3 2014,7:30 pm,Atlanta Hawks,112,Miami Heat,102,Box Score,,
Wed Dec 3 2014,8:00 pm,Dallas Mavericks,107,Milwaukee Bucks,105,Box Score,,
Wed Dec 3 2014,8:00 pm,Philadelphia 76ers,85,Minnesota Timberwolves,77,Box Score,,
Wed Dec 3 2014,9:00 pm,Toronto Raptors,123,Utah Jazz,104,Box Score,,
Wed Dec 3 2014,7:00 pm,Los Angeles Lakers,95,Washington Wizards,111,Box Score,,
Thu Dec 4 2014,10:30 pm,New Orleans Pelicans,85,Golden State Warriors,112,Box Score,,
Thu Dec 4 2014,8:00 pm,Cleveland Cavaliers,90,New York Knicks,87,Box Score,,
Thu Dec 4 2014,10:00 pm,Indiana Pacers,82,Portland Trail Blazers,88,Box Score,,
Fri Dec 5 2014,7:30 pm,Los Angeles Lakers,96,Boston Celtics,113,Box Score,,
Fri Dec 5 2014,7:30 pm,Atlanta Hawks,98,Brooklyn Nets,75,Box Score,,
Fri Dec 5 2014,7:00 pm,New York Knicks,102,Charlotte Hornets,103,Box Score,,
Fri Dec 5 2014,8:30 pm,Phoenix Suns,118,Dallas Mavericks,106,Box Score,,
